Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat
2002,"Salt Lake City, United States",1500m Women,Sabine Völker,GER,SILVER,1:54.97,1:54.97
2002,"Salt Lake City, United States",1500m Women,Jennifer Rodriguez,USA,BRONZE,1:55.32,1:55.32
2002,"Salt Lake City, United States",3000m Women,Claudia Pechstein,GER,GOLD,3:57.70,3:57.70
2002,"Salt Lake City, United States",3000m Women,Renate Groenevold,NED,SILVER,3:58.94,3:58.94
2002,"Salt Lake City, United States",3000m Women,Cindy Klassen,CAN,BRONZE,3:58.97,3:58.97
2002,"Salt Lake City, United States",5000m Women,Claudia Pechstein,GER,GOLD,6:46.91,6:46.91
2002,"Salt Lake City, United States",5000m Women,Greta Smit,NED,SILVER,6:49.22,6:49.22
2002,"Salt Lake City, United States",5000m Women,Clara Hughes,CAN,BRONZE,6:53.53,6:53.53
2002,"Salt Lake City, United States",500m Short Track Men,Marc Gagnon,CAN,GOLD,41.802,00:41.802
2002,"Salt Lake City, United States",500m Short Track Men,Jonathan Guilmette,CAN,SILVER,41.994,00:41.994
2002,"Salt Lake City, United States",500m Short Track Men,Rusty Smith,USA,BRONZE,42.027,00:42.027
2002,"Salt Lake City, United States",1000m Short Track Men,Steven Bradbury,AUS,GOLD,1:29.109,1:29.109
2002,"Salt Lake City, United States",1000m Short Track Men,Apolo Anton Ohno,USA,SILVER,1:30.160,1:30.160
2002,"Salt Lake City, United States",1000m Short Track Men,Mathieu Turcotte,CAN,BRONZE,1:30.563,1:30.563
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Mathieu Turcotte,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Francois-Louis Tremblay,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Jonathan Guilmette,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Marc Gagnon,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Nicola Franceschina,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Maurizio Carnino,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Fabio Carta,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Nicola Rodigari,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Kai Feng,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Wei Guo,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Ye Li,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Jiajun Li,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",1500m Short Track Men,Apolo Anton Ohno,USA,GOLD,2:18.541,2:18.541
2002,"Salt Lake City, United States",1500m Short Track Men,Jiajun Li,CHN,SILVER,2:18.731,2:18.731
2002,"Salt Lake City, United States",1500m Short Track Men,Marc Gagnon,CAN,BRONZE,2:18.806,2:18.806
2002,"Salt Lake City, United States",500m Short Track Women,Yang (A) Yang,CHN,GOLD,44.187,00:44.187
2002,"Salt Lake City, United States",500m Short Track Women,Evgenia Radanova,BUL,SILVER,44.252,00:44.252
2002,"Salt Lake City, United States",500m Short Track Women,Chunlu Wang,CHN,BRONZE,44.272,00:44.272
2002,"Salt Lake City, United States",1000m Short Track Women,Yang (A) Yang,CHN,GOLD,1:36.391,1:36.391
2002,"Salt Lake City, United States",1000m Short Track Women,Gi-Hyun Ko,KOR,SILVER,1:36.427,1:36.427
2002,"Salt Lake City, United States",1000m Short Track Women,Yang (S) Yang,CHN,BRONZE,1:37.008,1:37.008
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Hye-Won Park,KOR,GOLD,4:12.793,4:12.793
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Min-Jin Joo,KOR,GOLD,4:12.793,4:12.793
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Eun-Kyung Choi,KOR,GOLD,4:12.793,4:12.793
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Min-Kyung Choi,KOR,GOLD,4:12.793,4:12.793
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Yang (S) Yang,CHN,SILVER,4:13.236,4:13.236
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Chunlu Wang,CHN,SILVER,4:13.236,4:13.236
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Yang (A) Yang,CHN,SILVER,4:13.236,4:13.236
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Dandan Sun,CHN,SILVER,4:13.236,4:13.236
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Marie-Eve Drolet,CAN,BRONZE,4:15.738,4:15.738
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Isabelle Charest,CAN,BRONZE,4:15.738,4:15.738
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Amelie Goulet-Nadon,CAN,BRONZE,4:15.738,4:15.738
2002,"Salt Lake City, United States",3000m Short Track Relay Women,Alanna Kraus,CAN,BRONZE,4:15.738,4:15.738
2002,"Salt Lake City, United States",1500m Short Track Women,Gi-Hyun Ko,KOR,GOLD,2:31.581,2:31.581
2002,"Salt Lake City, United States",1500m Short Track Women,Eun-Kyung Choi,KOR,SILVER,2:31.610,2:31.610
2002,"Salt Lake City, United States",1500m Short Track Women,Evgenia Radanova,BUL,BRONZE,2:31.723,2:31.723
2006,"Turin, Italy",500m Men,Apolo Anton Ohno,USA,GOLD,69.76,00:69.76
2006,"Turin, Italy",500m Men,Francois-Louis Tremblay,RUS,SILVER,70.41,00:70.41
2006,"Turin, Italy",500m Men,Ahn Hyun-Soo,KOR,BRONZE,70.43,00:70.43
2006,"Turin, Italy",1000m Men,Shani Davis,USA,GOLD,01:08.9,01:08.9
2006,"Turin, Italy",1000m Men,Joey Cheek,USA,SILVER,01:09.2,01:09.2
2006,"Turin, Italy",1000m Men,Erben Wennemars,NED,BRONZE,01:09.3,01:09.3
2006,"Turin, Italy",1500m Men,Enrico Fabris,ITA,GOLD,01:46.0,01:46.0
2006,"Turin, Italy",1500m Men,Shani Davis,USA,SILVER,01:46.1,01:46.1
2006,"Turin, Italy",1500m Men,Chad Hedrick,USA,BRONZE,01:46.2,01:46.2
2006,"Turin, Italy",5000m Men,Chad Hedrick,USA,GOLD,06:14.7,06:14.7
2006,"Turin, Italy",5000m Men,Sven Kramer,NED,SILVER,06:16.4,06:16.4
2006,"Turin, Italy",5000m Men,Enrico Fabris,ITA,BRONZE,06:18.2,06:18.2
2006,"Turin, Italy",10000m Men,Bob de Jong,NED,GOLD,13:01.6,13:01.6
2006,"Turin, Italy",10000m Men,Chad Hedrick,USA,SILVER,13:05.4,13:05.4
2006,"Turin, Italy",10000m Men,Carl Verheijen,NED,BRONZE,13:08.8,13:08.8
2006,"Turin, Italy",Team Pursuit Men,Ippolito Sanfratello,ITA,GOLD,03:44.0,03:44.0
2006,"Turin, Italy",Team Pursuit Men,Stefano Donagrandi,ITA,GOLD,03:44.0,03:44.0
2006,"Turin, Italy",Team Pursuit Men,Enrico Fabris,ITA,GOLD,03:44.0,03:44.0
2006,"Turin, Italy",Team Pursuit Men,Matteo Anesi,ITA,GOLD,03:44.0,03:44.0
2006,"Turin, Italy",Team Pursuit Men,Steven Elm,CAN,SILVER,03:47.3,03:47.3
2006,"Turin, Italy",Team Pursuit Men,Arne Dankers,CAN,SILVER,03:47.3,03:47.3
2006,"Turin, Italy",Team Pursuit Men,Jason Parker,CAN,SILVER,03:47.3,03:47.3
2006,"Turin, Italy",Team Pursuit Men,Denny Morrison,CAN,SILVER,03:47.3,03:47.3
2006,"Turin, Italy",Team Pursuit Men,Justin Warsylewicz,CAN,SILVER,03:47.3,03:47.3
2006,"Turin, Italy",Team Pursuit Men,Erben Wennemars,NED,BRONZE,03:44.5,03:44.5
2006,"Turin, Italy",Team Pursuit Men,Rintje Ritsma,NED,BRONZE,03:44.5,03:44.5
2006,"Turin, Italy",Team Pursuit Men,Carl Verheijen,NED,BRONZE,03:44.5,03:44.5
2006,"Turin, Italy",Team Pursuit Men,Mark Tuitert,NED,BRONZE,03:44.5,03:44.5
2006,"Turin, Italy",Team Pursuit Men,Sven Kramer,NED,BRONZE,03:44.5,03:44.5
2006,"Turin, Italy",500m Women,Svetlana Zhurova,RUS,GOLD,76.57,00:76.57
2006,"Turin, Italy",500m Women,Wang Manli,CHN,SILVER,76.78,00:76.78
2006,"Turin, Italy",500m Women,Ren Hui,CHN,BRONZE,76.87,00:76.87
2006,"Turin, Italy",1000m Women,Marianne Timmer,NED,GOLD,01:16.1,01:16.1
2006,"Turin, Italy",1000m Women,Cindy Klassen,CAN,SILVER,01:16.1,01:16.1
2006,"Turin, Italy",1000m Women,Anna Friesinger,GER,BRONZE,01:16.1,01:16.1
2006,"Turin, Italy",1500m Women,Cindy Klassen,CAN,GOLD,01:55.3,01:55.3
2006,"Turin, Italy",1500m Women,Kristina Groves,CAN,SILVER,01:56.7,01:56.7
2006,"Turin, Italy",1500m Women,Ireen Wüst,NED,BRONZE,01:56.9,01:56.9
2006,"Turin, Italy",3000m Women,Ireen Wüst,NED,GOLD,04:02.4,04:02.4
2006,"Turin, Italy",3000m Women,Renate Groenevold,NED,SILVER,04:03.5,04:03.5
2006,"Turin, Italy",3000m Women,Cindy Klassen,CAN,BRONZE,04:04.4,04:04.4
2006,"Turin, Italy",5000m Women,Clara Hughes,CAN,GOLD,06:59.1,06:59.1
2006,"Turin, Italy",5000m Women,Claudia Pechstein,GER,SILVER,07:00.1,07:00.1
2006,"Turin, Italy",5000m Women,Cindy Klassen,CAN,BRONZE,07:00.6,07:00.6
2006,"Turin, Italy",Team Pursuit Women,Claudia Pechstein,GER,GOLD,03:01.3,03:01.3
2006,"Turin, Italy",Team Pursuit Women,Anna Friesinger,GER,GOLD,03:01.3,03:01.3
2006,"Turin, Italy",Team Pursuit Women,Daniela Anschütz-Thoms,GER,GOLD,03:01.3,03:01.3
2006,"Turin, Italy",Team Pursuit Women,Sabine Völker,GER,GOLD,03:01.3,03:01.3
2006,"Turin, Italy",Team Pursuit Women,Lucille Opitz,GER,GOLD,03:01.3,03:01.3
2006,"Turin, Italy",Team Pursuit Women,Shannon Rempel,CAN,SILVER,03:02.9,03:02.9
2006,"Turin, Italy",Team Pursuit Women,Kristina Groves,CAN,SILVER,03:02.9,03:02.9
2006,"Turin, Italy",Team Pursuit Women,Clara Hughes,CAN,SILVER,03:02.9,03:02.9
2006,"Turin, Italy",Team Pursuit Women,Christine Nesbitt,CAN,SILVER,03:02.9,03:02.9
2006,"Turin, Italy",Team Pursuit Women,Cindy Klassen,CAN,SILVER,03:02.9,03:02.9
2006,"Turin, Italy",Team Pursuit Women,Galina Likhachova,RUS,BRONZE,,
2006,"Turin, Italy",Team Pursuit Women,Yekaterina Lobysheva,RUS,BRONZE,,
2006,"Turin, Italy",Team Pursuit Women,Yekaterina Abramova,RUS,BRONZE,,
2006,"Turin, Italy",Team Pursuit Women,Varvara Barysheva,RUS,BRONZE,,
2006,"Turin, Italy",Team Pursuit Women,Svetlana Vysokova,RUS,BRONZE,,
2006,"Turin, Italy",500m Short Track Men,Apolo Anton Ohno,USA,GOLD,41.935,00:41.935
2006,"Turin, Italy",500m Short Track Men,Francois-Louis Tremblay,CAN,SILVER,42.002,00:42.002
2006,"Turin, Italy",500m Short Track Men,Ahn Hyun-Soo,KOR,BRONZE,42.089,00:42.089
2006,"Turin, Italy",1000m Short Track Men,Ahn Hyun-Soo,KOR,GOLD,01:26.7,01:26.7
2006,"Turin, Italy",1000m Short Track Men,Lee Ho-Suk,KOR,SILVER,01:26.8,01:26.8
2006,"Turin, Italy",1000m Short Track Men,Apolo Anton Ohno,USA,BRONZE,01:26.9,01:26.9
2006,"Turin, Italy",5000m Short Track Relay Men,Ahn Hyun-Soo,KOR,GOLD,06:43.4,06:43.4
2006,"Turin, Italy",5000m Short Track Relay Men,Seo Ho-Jin,KOR,GOLD,06:43.4,06:43.4
2006,"Turin, Italy",5000m Short Track Relay Men,Lee Ho-Suk,KOR,GOLD,06:43.4,06:43.4
2006,"Turin, Italy",5000m Short Track Relay Men,Song Suk-Woo,KOR,GOLD,06:43.4,06:43.4
2006,"Turin, Italy",5000m Short Track Relay Men,Francois-Louis Tremblay,CAN,SILVER,06:43.7,06:43.7
2006,"Turin, Italy",5000m Short Track Relay Men,Mathieu Turcotte,CAN,SILVER,06:43.7,06:43.7
2006,"Turin, Italy",5000m Short Track Relay Men,Charles Hamelin,CAN,SILVER,06:43.7,06:43.7
2006,"Turin, Italy",5000m Short Track Relay Men,Éric Bédard,CAN,SILVER,06:43.7,06:43.7
2006,"Turin, Italy",5000m Short Track Relay Men,Alex Izykowski,USA,BRONZE,06:48.0,06:48.0
2006,"Turin, Italy",5000m Short Track Relay Men,J.P. Kepka,USA,BRONZE,06:48.0,06:48.0
2006,"Turin, Italy",5000m Short Track Relay Men,Apolo Anton Ohno,USA,BRONZE,06:48.0,06:48.0
2006,"Turin, Italy",5000m Short Track Relay Men,Rusty Smith,USA,BRONZE,06:48.0,06:48.0
2006,"Turin, Italy",1500m Short Track Men,Ahn Hyun-Soo,KOR,GOLD,02:25.3,02:25.3
2006,"Turin, Italy",1500m Short Track Men,Lee Ho-Suk,KOR,SILVER,02:25.6,02:25.6
2006,"Turin, Italy",1500m Short Track Men,Jiajun Li,CHN,BRONZE,02:26.0,02:26.0
2006,"Turin, Italy",500m Short Track Women,Wang Meng,CHN,GOLD,44.345,00:44.345
2006,"Turin, Italy",500m Short Track Women,Evgenia Radanova,BUL,SILVER,44.374,00:44.374
2006,"Turin, Italy",500m Short Track Women,Anouk Leblanc-Boucher,CAN,BRONZE,44.759,00:44.759
2006,"Turin, Italy",1000m Short Track Women,Jin Sun-Yu,KOR,GOLD,01:32.9,01:32.9
2006,"Turin, Italy",1000m Short Track Women,Wang Meng,CHN,SILVER,01:33.1,01:33.1
2006,"Turin, Italy",1000m Short Track Women,Yang (A) Yang,CHN,BRONZE,01:33.9,01:33.9
2006,"Turin, Italy",3000m Short Track Relay Women,Jin Sun-Yu,KOR,GOLD,04:17.0,04:17.0
2006,"Turin, Italy",3000m Short Track Relay Women,Eun-Kyung Choi,KOR,GOLD,04:17.0,04:17.0
2006,"Turin, Italy",3000m Short Track Relay Women,Byun Chun-Sa,KOR,GOLD,04:17.0,04:17.0
2006,"Turin, Italy",3000m Short Track Relay Women,Jeon Da-Hye,KOR,GOLD,04:17.0,04:17.0
2006,"Turin, Italy",3000m Short Track Relay Women,Alanna Kraus,CAN,SILVER,04:17.3,04:17.3
2006,"Turin, Italy",3000m Short Track Relay Women,Anouk Leblanc-Boucher,CAN,SILVER,04:17.3,04:17.3
2006,"Turin, Italy",3000m Short Track Relay Women,Kalyna Roberge,CAN,SILVER,04:17.3,04:17.3
2006,"Turin, Italy",3000m Short Track Relay Women,Katia Zini,ITA,BRONZE,04:20.0,04:20.0
2006,"Turin, Italy",3000m Short Track Relay Women,Mara Zini,ITA,BRONZE,04:20.0,04:20.0
2006,"Turin, Italy",3000m Short Track Relay Women,Marta Capurso,ITA,BRONZE,04:20.0,04:20.0
2006,"Turin, Italy",3000m Short Track Relay Women,Arianna Fontana,ITA,BRONZE,04:20.0,04:20.0
2006,"Turin, Italy",1500m Short Track Women,Jin Sun-Yu,KOR,GOLD,02:23.5,02:23.5
2006,"Turin, Italy",1500m Short Track Women,Eun-Kyung Choi,KOR,SILVER,02:24.1,02:24.1
2006,"Turin, Italy",1500m Short Track Women,Wang Meng,CHN,BRONZE,02:24.5,02:24.5
2010,"Vancouver, Canada",500m Men,Mo Tae-Bum,KOR,GOLD,69.82,00:69.82
2010,"Vancouver, Canada",500m Men,Keiichiro Nagashima,JPN,SILVER,69.98,00:69.98
2010,"Vancouver, Canada",500m Men,Joji Kato,JPN,BRONZE,70.01,00:70.01
2010,"Vancouver, Canada",1000m Men,Shani Davis,USA,GOLD,1:08.94,1:08.94
2010,"Vancouver, Canada",1000m Men,Mo Tae-Bum,KOR,SILVER,1:09.12,1:09.12
2010,"Vancouver, Canada",1000m Men,Chad Hedrick,USA,BRONZE,1:09.32,1:09.32
2010,"Vancouver, Canada",1500m Men,Mark Tuitert,NED,GOLD,1:45.57,1:45.57
2010,"Vancouver, Canada",1500m Men,Shani Davis,USA,SILVER,1:46.10,1:46.10
2010,"Vancouver, Canada",1500m Men,Håvard Bøkko,NOR,BRONZE,1:46.13,1:46.13
2010,"Vancouver, Canada",5000m Men,Sven Kramer,NED,GOLD,6:14.60,6:14.60
2010,"Vancouver, Canada",5000m Men,Lee Seung-Hoon,KOR,SILVER,6:16.95,6:16.95
2010,"Vancouver, Canada",5000m,Ivan Skobrev,RUS,BRONZE,6:18.05,6:18.05
2010,"Vancouver, Canada",10000m Men,Lee Seung-Hoon,KOR,GOLD,12:58.55,12:58.55
2010,"Vancouver, Canada",10000m Men,Ivan Skobrev,RUS,SILVER,13:02.07,13:02.07
2010,"Vancouver, Canada",10000m Men,Bob de Jong,NED,BRONZE,13:06.73,13:06.73
2010,"Vancouver, Canada",Team Pursuit Men,Mathieu Giroux,CAN,GOLD,3:41.37,3:41.37
2010,"Vancouver, Canada",Team Pursuit Men,Lucas Makowsky,CAN,GOLD,3:41.37,3:41.37
2010,"Vancouver, Canada",Team Pursuit Men,Denny Morrison,CAN,GOLD,3:41.37,3:41.37
2010,"Vancouver, Canada",Team Pursuit Men,Brian Hansen,USA,SILVER,3:41.58,3:41.58
2010,"Vancouver, Canada",Team Pursuit Men,Chad Hedrick,USA,SILVER,3:41.58,3:41.58
2010,"Vancouver, Canada",Team Pursuit Men,Jonathan Kuck,USA,SILVER,3:41.58,3:41.58
2010,"Vancouver, Canada",Team Pursuit Men,Trevor Marsicano,USA,SILVER,3:41.58,3:41.58
2010,"Vancouver, Canada",Team Pursuit Men,Jan Blokhuijsen,NED,BRONZE,3:39.95,3:39.95
2010,"Vancouver, Canada",Team Pursuit Men,Sven Kramer,NED,BRONZE,3:39.95,3:39.95
2010,"Vancouver, Canada",Team Pursuit Men,Simon Kuipers,NED,BRONZE,3:39.95,3:39.95
2010,"Vancouver, Canada",Team Pursuit Men,Mark Tuitert,NED,BRONZE,3:39.95,3:39.95
2010,"Vancouver, Canada",500m Women,Lee Sang-Hwa,KOR,GOLD,76.09,00:76.09
2010,"Vancouver, Canada",500m Women,Jenny Wolf,GER,SILVER,76.14,00:76.14
2010,"Vancouver, Canada",500m Women,Wang Beixing,CHN,BRONZE,76.63,00:76.63
2010,"Vancouver, Canada",1000m Women,Christine Nesbitt,CAN,GOLD,1:16.56,1:16.56
2010,"Vancouver, Canada",1000m Women,Annette Gerritsen,NED,SILVER,1:16.58,1:16.58
2010,"Vancouver, Canada",1000m Women,Laurine van Riessen,NED,BRONZE,1:16.72,1:16.72
2010,"Vancouver, Canada",1500m Women,Ireen Wüst,NED,GOLD,1:56.89,1:56.89
2010,"Vancouver, Canada",1500m Women,Kristina Groves,CAN,SILVER,1:57.14,1:57.14
2010,"Vancouver, Canada",1500m Women,Martina Sáblíková,CZE,BRONZE,1:57.96,1:57.96
2010,"Vancouver, Canada",3000m Women,Martina Sáblíková,CZE,GOLD,4:02.53,4:02.53
2010,"Vancouver, Canada",3000m Women,Stephanie Beckert,GER,SILVER,4:04.62,4:04.62
2010,"Vancouver, Canada",3000m Women,Kristina Groves,CAN,BRONZE,4:04.84,4:04.84
2010,"Vancouver, Canada",5000m Women,Martina Sáblíková,CZE,GOLD,6:50.92,6:50.92
2010,"Vancouver, Canada",5000m Women,Stephanie Beckert,GER,SILVER,6:51.39,6:51.39
2010,"Vancouver, Canada",5000m Women,Clara Hughes,GER,BRONZE,6:55.73,6:55.73
2010,"Vancouver, Canada",Team Pursuit Women,Daniela Anschütz-Thoms,GER,GOLD,3:02.82,3:02.82
2010,"Vancouver, Canada",Team Pursuit Women,Stephanie Beckert,GER,GOLD,3:02.82,3:02.82
2010,"Vancouver, Canada",Team Pursuit Women,Anni Friesinger-Postma,GER,GOLD,3:02.82,3:02.82
2010,"Vancouver, Canada",Team Pursuit Women,Katrin Mattscherodt,GER,GOLD,3:02.82,3:02.82
2010,"Vancouver, Canada",Team Pursuit Women,Masako Hozumi,JPN,SILVER,3:02.84,3:02.84
2010,"Vancouver, Canada",Team Pursuit Women,Nao Kodaira,JPN,SILVER,3:02.84,3:02.84
2010,"Vancouver, Canada",Team Pursuit Women,Maki Tabata,JPN,SILVER,3:02.84,3:02.84
2010,"Vancouver, Canada",Team Pursuit Women,Katarzyna Bachleda-Curuś,POL,BRONZE,3:03.73,3:03.73
2010,"Vancouver, Canada",Team Pursuit Women,Katarzyna Woźniak,POL,BRONZE,3:03.73,3:03.73
2010,"Vancouver, Canada",Team Pursuit Women,Luiza Złotkowska,POL,BRONZE,3:03.73,3:03.73
2010,"Vancouver, Canada",500m Short Track Men,Charles Hamelin,CAN,GOLD,40.981,00:40.981
2010,"Vancouver, Canada",500m Short Track Men,Sung Si-Bak,KOR,SILVER,41.34,00:41.340
2010,"Vancouver, Canada",500m Short Track Men,François-Louis Tremblay,CAN,BRONZE,46.366,00:46.366
2010,"Vancouver, Canada",1000m Short Track Men,Lee Jung-Su,KOR,GOLD,1:23.747,1:23.747
2010,"Vancouver, Canada",1000m Short Track Men,Lee Ho-Suk,KOR,SILVER,1:23.801,1:23.801
2010,"Vancouver, Canada",1000m Short Track Men,Apolo Anton Ohno,USA,BRONZE,1:24.128,1:24.128
2010,"Vancouver, Canada",1500m Short Track Men,Lee Jung-Su,KOR,GOLD,2:17.611,2:17.611
2010,"Vancouver, Canada",1500m Short Track Men,Apolo Anton Ohno,USA,SILVER,2:17.976,2:17.976
2010,"Vancouver, Canada",1500m Short Track Men,J. R. Celski,USA,BRONZE,2:18.053,2:18.053
2010,"Vancouver, Canada",5000m Short Track Relay Men,Charles Hamelin,CAN,GOLD,6:44.224,6:44.224
2010,"Vancouver, Canada",5000m Short Track Relay Men,François Hamelin,CAN,GOLD,6:44.224,6:44.224
2010,"Vancouver, Canada",5000m Short Track Relay Men,Olivier Jean,CAN,GOLD,6:44.224,6:44.224
2010,"Vancouver, Canada",5000m Short Track Relay Men,François-Louis Tremblay,CAN,GOLD,6:44.224,6:44.224
2010,"Vancouver, Canada",5000m Short Track Relay Men,Kwak Yoon-Gy,KOR,SILVER,6:44.446,6:44.446
2010,"Vancouver, Canada",5000m Short Track Relay Men,Lee Ho-Suk,KOR,SILVER,6:44.446,6:44.446
2010,"Vancouver, Canada",5000m Short Track Relay Men,Lee Jung-Su,KOR,SILVER,6:44.446,6:44.446
2010,"Vancouver, Canada",5000m Short Track Relay Men,Sung Si-Bak,KOR,SILVER,6:44.446,6:44.446
2010,"Vancouver, Canada",5000m Short Track Relay Men,J.R. Celski,USA,BRONZE,6:44.498,6:44.498
2010,"Vancouver, Canada",5000m Short Track Relay Men,Travis Jayner,USA,BRONZE,6:44.498,6:44.498
2010,"Vancouver, Canada",5000m Short Track Relay Men,Jordan Malone,USA,BRONZE,6:44.498,6:44.498
2010,"Vancouver, Canada",5000m Short Track Relay Men,Apolo Anton Ohno,USA,BRONZE,6:44.498,6:44.498
2010,"Vancouver, Canada",500m Short Track Women,Wang Meng,CHN,GOLD,43.048,00:43.048
2010,"Vancouver, Canada",500m Short Track Women,Marianne St-Gelais,CAN,SILVER,43.707,00:43.707
2010,"Vancouver, Canada",500m Short Track Women,Arianna Fontana,ITA,BRONZE,43.804,00:43.804
2010,"Vancouver, Canada",1000m Short Track Women,Wang Meng,CHN,GOLD,1:29.213,1:29.213
2010,"Vancouver, Canada",1000m Short Track Women,Katherine Reutter,USA,SILVER,1:29.324,1:29.324
2010,"Vancouver, Canada",1000m Short Track Women,Park Seung-Hi,KOR,BRONZE,1:29.379,1:29.379
2010,"Vancouver, Canada",1500m Short Track Women,Zhou Yang,CHN,GOLD,2:16.993,2:16.993
2010,"Vancouver, Canada",1500m Short Track Women,Lee Eun-Byul,KOR,SILVER,2:17.849,2:17.849
2010,"Vancouver, Canada",1500m Short Track Women,Park Seung-Hi,KOR,BRONZE,2:17.927,2:17.927
2010,"Vancouver, Canada",3000m Short Track Relay Women,Sun Linlin,CHN,GOLD,4:06.610,4:06.610
2010,"Vancouver, Canada",3000m Short Track Relay Women,Wang Meng,CHN,GOLD,4:06.610,4:06.610
2010,"Vancouver, Canada",3000m Short Track Relay Women,Zhang Hui,CHN,GOLD,4:06.610,4:06.610
2010,"Vancouver, Canada",3000m Short Track Relay Women,Zhou Yang,CHN,GOLD,4:06.610,4:06.610
2010,"Vancouver, Canada",3000m Short Track Relay Women,Jessica Gregg,CAN,SILVER,4:09.137,4:09.137
2010,"Vancouver, Canada",3000m Short Track Relay Women,Kalyna Roberge,CAN,SILVER,4:09.137,4:09.137
2010,"Vancouver, Canada",3000m Short Track Relay Women,Marianne St-Gelais,CAN,SILVER,4:09.137,4:09.137
2010,"Vancouver, Canada",3000m Short Track Relay Women,Tania Vicent,CAN,SILVER,4:09.137,4:09.137
2010,"Vancouver, Canada",3000m Short Track Relay Women,Allison Baver,USA,BRONZE,4:14.081,4:14.081
2010,"Vancouver, Canada",3000m Short Track Relay Women,Alyson Dudek,USA,BRONZE,4:14.081,4:14.081
2010,"Vancouver, Canada",3000m Short Track Relay Women,Lana Gehring,USA,BRONZE,4:14.081,4:14.081
2010,"Vancouver, Canada",3000m Short Track Relay Women,Katherine Reutter,USA,BRONZE,4:14.081,4:14.081